#,Model,NoUpd,Tag,id/name,groups_id,implied_ids,name,plan_id,mail_template_id,sequence,legend_blocked,legend_done,fold,date_start,date,color,user_id,type_ids,partner_id,privacy_visibility,favorite_user_ids,tag_ids,stage_id,analytic_account_id,res_model,res_id,res_model_id,activity_type_id,date_deadline,summary,create_uid,description,is_reached,deadline,reached_date,project_id,planned_hours,user_ids,create_date,milestone_id,planned_hours,priority,model,message_type,subtype_id,author_id,field,field_desc,old_value_char,new_value_char,field_type,old_value_integer,new_value_integer,mail_message_id,kanban_state,body,parent_id,recurrence_left,repeat_unit,repeat_on_month,repeat_type,repeat_number,repeat_day,repeat_weekday,next_recurrence_date,mon,tue,wed,thu,fri,recurring_task,recurrence_id,depend_on_ids,active,active,project_id,access_token,rated_partner_id,rating_template_id,user_id,progress,status
0,,,,,eval,eval,,ref,ref,,,,eval,eval,eval,,ref,eval,ref,,eval,eval,ref,ref,,ref,ref,ref,eval,,ref,,eval,eval,eval,ref,,eval,eval,ref,eval,,,,ref,ref,eval,,,,,,,ref,,,ref,,,,,,,,eval,eval,eval,eval,eval,eval,eval,ref,eval,eval,,,,ref,ref,eval,eval,
11,account.analytic.account,1,record,analytic_research_development,,,Research & Development,analytic.analytic_plan_projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,account.analytic.account,1,record,analytic_renovations,,,Renovations,analytic.analytic_plan_projects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,project.project.stage,1,record,project.project_project_stage_2,,,,,project.project_done_email_template,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,project.task.type,1,record,project_stage_0,,,New,,project.mail_template_data_project_task,1,Blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,project.task.type,1,record,project_stage_1,,,In Progress,,,10,Need functional or technical help,Buzz or set as done,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,project.task.type,1,record,project_stage_2,,,Done,,,20,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,project.task.type,1,record,project_stage_3,,,Canceled,,,30,,Ready to reopen,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,project.project,1,record,project_project_1,,,Office Design,,,,,,,DateTime.today() - relativedelta(weeks=9),"DateTime.today() + relativedelta(weekday=4,weeks=1)",3,base.user_demo,"[Command.link(ref('project_stage_0')), Command.link(ref('project_stage_1')), Command.link(ref('project_stage_2')), Command.link(ref('project_stage_3'))]",base.partner_demo_portal,portal,[Command.link(ref('base.user_admin'))],[Command.link(ref('project.project_tags_05'))],project.project_project_stage_1,project.analytic_office_design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,mail.followers,1,record,project_1_follower_admin,,,,,,,,,,,,,,,base.partner_admin,,,,,,project.project,project_project_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,project.project,1,record,project_project_2,,,Research & Development,,,,,,,,,,base.user_admin,"[Command.link(ref('project_stage_0')), Command.link(ref('project_stage_1')), Command.link(ref('project_stage_2')), Command.link(ref('project_stage_3'))]",,followers,[Command.link(ref('base.user_admin'))],[Command.link(ref('project.project_tags_04'))],project.project_project_stage_1,project.analytic_research_development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,mail.activity,1,record,project_2_activity_1,,,,,,,,,,,,,base.user_admin,,,,,,,,,project_project_2,project.model_project_project,mail.mail_activity_data_meeting,(DateTime.today() + relativedelta(days=13)).strftime('%Y-%m-%d %H:%M'),Examine project status,base.user_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,project.project,1,record,project_project_3,,,Renovations,,,,,,,(DateTime.today() + relativedelta(months=-2)).strftime('%Y-%m-%d 10:00:00'),(DateTime.today() + relativedelta(days=-5)).strftime('%Y-%m-%d 17:00:00'),4,base.user_admin,"[Command.link(ref('project_stage_0')), Command.link(ref('project_stage_1')), Command.link(ref('project_stage_2')), Command.link(ref('project_stage_3'))]",,employees,[Command.link(ref('base.user_admin'))],"[Command.link(ref('project_tags_04')), Command.link(ref('project_tags_02'))]",project.project_project_stage_2,project.analytic_renovations,,,,,,,,Renovation work at the YourCompany headquarters.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,project.task.type,1,record,project_personal_stage_admin_0,,,Inbox,,,1,,,,,,,base.user_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,project.task.type,1,record,project_personal_stage_admin_1,,,Today,,,2,,,,,,,base.user_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,project.task.type,1,record,project_personal_stage_admin_2,,,This Week,,,3,,,,,,,base.user_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,project.task.type,1,record,project_personal_stage_admin_3,,,This Month,,,4,,,,,,,base.user_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,project.task.type,1,record,project_personal_stage_admin_4,,,Later,,,5,,,,,,,base.user_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,project.task.type,1,record,project_personal_stage_admin_5,,,Done,,,6,,,TRUE,,,,base.user_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,project.task.type,1,record,project_personal_stage_admin_6,,,Canceled,,,7,,,TRUE,,,,base.user_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,project.task.type,1,record,project_personal_stage_demo_0,,,Inbox,,,1,,,,,,,base.user_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,project.task.type,1,record,project_personal_stage_demo_1,,,Today,,,2,,,,,,,base.user_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,project.task.type,1,record,project_personal_stage_demo_2,,,This Week,,,3,,,,,,,base.user_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,project.task.type,1,record,project_personal_stage_demo_3,,,This Month,,,4,,,,,,,base.user_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,project.task.type,1,record,project_personal_stage_demo_4,,,Later,,,5,,,,,,,base.user_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,project.task.type,1,record,project_personal_stage_demo_5,,,Done,,,6,,,TRUE,,,,base.user_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,project.task.type,1,record,project_personal_stage_demo_6,,,Canceled,,,7,,,TRUE,,,,base.user_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,project.milestone,1,record,project_1_milestone_1,,,First Phase,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,time.strftime('%Y-%m-10'),time.strftime('%Y-%m-10'),project.project_project_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,project.milestone,1,record,project_1_milestone_2,,,Second Phase,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,(DateTime.now() + relativedelta(years=1)).strftime('%Y-%m-15'),,project.project_project_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,project.milestone,1,record,project_1_milestone_3,,,Final Phase,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,(DateTime.now() + relativedelta(years=2)).strftime('%Y-%m-%d'),,project.project_project_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,project.task,1,record,project_1_task_1,,,Office planning,,,20,,,,,,7,,,,,,,project_stage_2,,,,,,,,,,,,,project.project_project_1,20,FALSE,DateTime.now() - relativedelta(months=5),project.project_1_milestone_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,project.task,1,record,project_1_task_2,,,Lunch Room: kitchen,,,,,,,,,,,,,,,,project_stage_2,,,,,,,,,,,,,project.project_project_1,,[Command.link(ref('base.user_demo'))],DateTime.now() - relativedelta(months=5),project.project_1_milestone_1,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,mail.message,1,record,project_1_task_2_mail_message_1,,,,,,,,,,,DateTime.now() - relativedelta(months=2),,,,,,,,,,,project.project_1_task_2,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,mail.message,1,record,project_1_task_2_mail_message_2,,,,,,,,,,,DateTime.now() - relativedelta(months=1),,,,,,,,,,,project.project_1_task_2,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,mail.tracking.value,1,record,project_1_task_2_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_1_task_2_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,mail.tracking.value,1,record,project_1_task_2_mail_message_2_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,In Progress,Done,many2one,2,3,project_1_task_2_mail_message_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,project.task,1,record,project_1_task_3,,,Noise Reduction,,,,,,,,,4,,,,,,,project_stage_2,,,,,,time.strftime('%Y-%m-24'),,,Installation of acoustic ceiling clouds and wall panels.,,,,project.project_project_1,,[Command.link(ref('base.user_admin'))],DateTime.now() - relativedelta(months=5),project.project_1_milestone_2,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,mail.message,1,record,project_1_task_3_mail_message_1,,,,,,,,,,,DateTime.now() - relativedelta(months=4),,,,,,,,,,,project.project_1_task_3,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,mail.message,1,record,project_1_task_3_mail_message_2,,,,,,,,,,,DateTime.now() - relativedelta(months=4),,,,,,,,,,,project.project_1_task_3,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,mail.tracking.value,1,record,project_1_task_3_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_1_task_3_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,mail.tracking.value,1,record,project_1_task_3_mail_message_2_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,In Progress,Done,many2one,2,3,project_1_task_3_mail_message_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,project.task,1,record,project_1_task_4,,,Modifications asked by the customer,,,17,,,,,,,,,,,,[Command.set([ref('project_tags_00')])],project_stage_2,,,,,,,,,Modifications to the kitchen of the lunch room,,,,project.project_project_1,8,FALSE,DateTime.now() - relativedelta(months=5),project.project_1_milestone_2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,mail.message,1,record,project_1_task_4_mail_message_1,,,,,,,,,,,DateTime.now() - relativedelta(months=4),,,,,,,,,,,project.project_1_task_4,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,mail.message,1,record,project_1_task_4_mail_message_2,,,,,,,,,,,DateTime.now() - relativedelta(months=3),,,,,,,,,,,project.project_1_task_4,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,mail.tracking.value,1,record,project_1_task_4_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_1_task_4_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,mail.tracking.value,1,record,project_1_task_4_mail_message_2_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,In Progress,Done,many2one,2,3,project_1_task_4_mail_message_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,project.task,1,record,project_1_task_5,,,Energy Certificate,,,,,,,,,1,,,,,,,project_stage_1,,,,,,DateTime.now() + relativedelta(days=2),,,,,,,project.project_project_1,,[Command.link(ref('base.user_admin'))],DateTime.now() - relativedelta(months=5),project.project_1_milestone_3,15,1,,,,,,,,,,,,,blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,mail.message,1,record,project_1_task_5_mail_message_1,,,,,,,,,,,DateTime.now() - relativedelta(months=4),,,,,,,,,,,project.project_1_task_5,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,mail.tracking.value,1,record,project_1_task_5_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_1_task_5_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,mail.activity,1,record,project_1_task_5_activity_1,,,,,,,,,,,,,base.user_admin,,,,,,,,,project_1_task_5,project.model_project_task,mail.mail_activity_data_email,(DateTime.today() + relativedelta(hours=3)).strftime('%Y-%m-%d %H:%M'),Follow-up email,base.user_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,project.task,1,record,project_1_task_6,,,Room 1: Decoration,,,,,,,,,11,,,,,,[Command.set([ref('project_tags_01')])],project_stage_1,,,,,,time.strftime('%Y-%m-%d'),,,,,,,project.project_project_1,,[Command.link(ref('base.user_admin'))],DateTime.now() - relativedelta(months=5),project.project_1_milestone_3,76,0,,,,,,,,,,,,,done,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,mail.message,1,record,project_1_task_6_mail_message_1,,,,,,,,,,,DateTime.now() - relativedelta(months=2),,,,,,,,,,,project.project_1_task_6,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,mail.tracking.value,1,record,project_1_task_6_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_1_task_6_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,mail.activity,1,record,project_1_task_6_activity_1,,,,,,,,,,,,,base.user_admin,,,,,,,,,project_1_task_6,project.model_project_task,mail.mail_activity_data_call,(DateTime.today() + relativedelta(hours=2)).strftime('%Y-%m-%d %H:%M'),Call Joel Willis,base.user_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,project.task,1,record,project_1_task_7,,,Room 2: Decoration,,,,,,,,,9,,,,,,,project_stage_1,,,,,,DateTime.now() + relativedelta(days=6),,,,,,,project.project_project_1,,[Command.link(ref('base.user_admin'))],DateTime.now() - relativedelta(months=5),project.project_1_milestone_3,24,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,mail.message,1,record,project_1_task_7_mail_message_1,,,,,,,,,,,DateTime.now() - relativedelta(months=3),,,,,,,,,,,project.project_1_task_7,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,mail.tracking.value,1,record,project_1_task_7_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_1_task_7_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,project.task,1,record,project_1_task_8,,,Black Chairs for managers,,,,,,,,,5,,,,,,[Command.set([ref('project_tags_01')])],project_stage_1,,,,,,time.strftime('%Y-%m-19'),,,Use the account_budget module,,,,project.project_project_1,,[Command.link(ref('base.user_demo'))],DateTime.now() - relativedelta(months=5),project.project_1_milestone_3,60,0,,,,,,,,,,,,,blocked,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,mail.message,1,record,project_1_task_8_mail_message_1,,,,,,,,,,,DateTime.now() - relativedelta(months=1),,,,,,,,,,,project.project_1_task_8,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,mail.tracking.value,1,record,project_1_task_8_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_1_task_8_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,mail.message,1,record,project_1_task_8_message_1,,,,,,,,,,,(DateTime.now() - relativedelta(days=3)).strftime('%Y-%m-%d 09:43:27'),,,,,,,,,,,project_1_task_8,,,,,,,,,,,,,,,,,project.task,comment,,base.partner_demo,,,,,,,,,,"Hello Admin,
                Can we discuss this? Having nicer chairs for managers doesn't sit right with me.",,,,,,,,,,,,,,,,,,,,,,,,,,
71,mail.message,1,record,project_1_task_8_message_2,,,,,,,,,,,(DateTime.now() - relativedelta(days=3)).strftime('%Y-%m-%d 11:52:03'),,,,,,,,,,,project_1_task_8,,,,,,,,,,,,,,,,,project.task,comment,,base.partner_admin,,,,,,,,,,"We have already discussed, and I stand by my decision.",project_1_task_8_message_1,,,,,,,,,,,,,,,,,,,,,,,,,
72,project.task,1,record,project_1_task_9,,,Meeting Room Furnitures,,,,,,,,,3,,,,,,,project_stage_1,,,,,,,,,,,,,project.project_project_1,,[Command.link(ref('base.user_demo'))],DateTime.now() - relativedelta(months=5),project.project_1_milestone_3,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,mail.activity,1,record,project_1_task_9_activity_1,,,,,,,,,,,,,base.user_demo,,,,,,,,,project_1_task_9,project.model_project_task,mail.mail_activity_data_todo,(DateTime.today() - relativedelta(days=2)).strftime('%Y-%m-%d %H:%M'),Check furniture,base.user_demo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,project.task.recurrence,1,record,project_task_recurrence_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DateTime.now() + relativedelta(weeks=-2),,,,,,,,,,,,,,,,,,,3,month,date,after,4,1,mon,,,,,,,,,,,,,,,,,,
75,project.task.recurrence,1,record,project_task_recurrence_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DateTime.now() + relativedelta(weeks=-2),,,,,,,,,,,,,,,,,
76,project.task.recurrence,1,record,project_task_recurrence_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,after,20,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
77,project.task.recurrence,1,record,project_task_recurrence_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DateTime.now() + relativedelta(weeks=-2),,,,,,,,,,,,,,,,,
78,project.task,1,record,project_1_task_10,,,Customer review,,,20,,,,,,,,,,,,,project_stage_1,,,,,,,,,,,,,project.project_project_1,20,FALSE,DateTime.now() + relativedelta(weeks=-2),project.project_1_milestone_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,project_task_recurrence_1,,,,,,,,,,
79,project.task,1,record,project_1_task_11,,,Daily stand-up meeting - Send minutes,,,20,,,,,,,,,,,,,project_stage_1,,,,,,,,,,,,,project.project_project_1,0.25,FALSE,DateTime.now() - relativedelta(weeks=-1),,,,,,,,,,,,,,,,,,project.project_1_task_10,,,,,,,,,,,,,,TRUE,project_task_recurrence_2,,,,,,,,,,
80,project.task,1,record,project_1_task_12,,,Customer Meeting,,,20,,,,,,,,,,,,,project_stage_1,,,,,,,,,,,,,project.project_project_1,8,FALSE,,,,,,,,,,,,,,,,,,,project.project_1_task_10,,,,,,,,,,,,,,,,,,,,,,,,,
81,project.task,1,record,project_1_task_13,,,Daily Meetings summary,,,10,,,,,,,,,,,,,project_stage_1,,,,,,,,,,,,,project.project_project_1,2,FALSE,,,,,,,,,,,,,,,,,,,project.project_1_task_12,,,,,,,,,,,,,,,,,,,,,,,,,
82,project.task,1,record,project_1_task_14,,,Preparation,,,20,,,,,,,,,,,,,project_stage_1,,,,,,,,,,,,,project.project_project_1,2,FALSE,,,,,,,,,,,,,,,,,,,project.project_1_task_12,,,,,,,,,,,,,,,,,,,,,,,,,
83,project.task,1,record,project_1_task_15,,,Minutes,,,30,,,,,,,,,,,,,project_stage_1,,,,,,,,,,,,,project.project_project_1,2,FALSE,,,,,,,,,,,,,,,,,,,project.project_1_task_12,,,,,,,,,,,,,,,,,,,,,,,,,
84,project.task,1,record,project_2_task_1,,,Customer analysis + Architecture,,,,,,,,,7,,,,,,,project_stage_2,,,,,,,,,,,,,project.project_project_2,12,"[Command.link(ref('base.user_admin')), Command.link(ref('base.user_demo'))]",DateTime.now() - relativedelta(months=5),,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,mail.message,1,record,project_2_task_1_mail_message_1,,,,,,,,,,,DateTime.now() - relativedelta(weeks=16),,,,,,,,,,,project.project_2_task_1,,,,,,,,,,,,,,,,,project.task,notification,mt_task_stage,base.partner_admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,mail.tracking.value,1,record,project_2_task_1_mail_message_1_track_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"obj().search([('model', '=', 'project.task'), ('name', '=', 'stage_id')])",Stage,New,In Progress,many2one,1,2,project_2_task_1_mail_message_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
